Log	Action ID	Input	Action	Output	Intention	Rationale	Annotation	Tools/Knowledge
2	37	包装工程	包装工程のCTを5縮める	"出来高：69%,ポイント：120"	no intention	no rationale	no annotation	no tools/knowledge
2	38	"出来高：69%,ポイント：120"	MC2のCTを45に変更	出来高：69％	ハムカット工程に重みがありそう	CTを変更すると出来高が一番向上したため	no annotation	no tools/knowledge
2	39	出来高：69％	マテリアルフローのデータを分析する	B1でのマテリアルフローの傾斜角度が大きくなっている	no intention	no rationale	no annotation	no tools/knowledge
2	40	B1でのマテリアルフローの傾斜角度が大きくなっている	B1の初期在庫を5に変更する	出来高：70％	no intention	no rationale	no annotation	no tools/knowledge
2	41	出来高：70％	B3の初期在庫を5に変更する	出来高：70％	no intention	no rationale	no annotation	no tools/knowledge
2	42	出来高：70％	"M3,4のCTを45に変更する"	"出来高：70.89%
投資ポイント：121"	no intention	no rationale	no annotation	no tools/knowledge
2	43	"出来高：70.89%
投資ポイント：121"	"M3,4のCTを50に戻す"	no output	no intention	"M3,4はポイント使った分に見合った変化がないため"	no annotation	no tools/knowledge
3	44	no input	改善前の出来高を調べる	出来高:55.20	no intention	no rationale	no annotation	no tools/knowledge
3	45	出来高:55.20	改善対象の優先順位を決める	"1.マシン
2.バッファ
3.人"	改善方針を決めたい	出来高に影響を与えやすいと考えられるから	no annotation	"・マシン
・バッファ
・人"
3	46	"1.マシン
2.バッファ
3.人"	改善対象を決める	マシン	no intention	優先順位が最も高いから	no annotation	no tools/knowledge
3	47	マシン	マシンのCTを調べる	各マシンのCT	no intention	no rationale	no annotation	no tools/knowledge
3	48	各マシンのCT	改善対象のマシンを決める	"M2,M3"	no intention	no rationale	no annotation	no tools/knowledge
3	49	"M2,M3"	M2とM3のCTの変更可能範囲を調べる	"M2:45-55,M3:45-55"	no intention	no rationale	no annotation	no tools/knowledge
3	50	"M2:45-55,M3:45-55"	M2とM3のCTを改善する	"M2:45,M3:45"	最大の改善で効果を知りたいから	実現可能なCTの下限値だから	no annotation	no tools/knowledge
3	51	"M2:45,M3:45"	出来高を調べる	出来高:55.33	効果を知りたい	no rationale	no annotation	no tools/knowledge
3	52	出来高:55.33	改善前と改善後の出来高を比較する	"改善前:55.20,改善後:55.33"	no intention	no rationale	no annotation	no tools/knowledge
3	53	"改善前:55.20,改善後:55.33"	改善方針を評価する	マシン改善による効果は小さい	no intention	no rationale	no annotation	no tools/knowledge
3	54	マシン改善による効果は小さい	効果が小さい理由を考える	理由：CTはボトルネックではないから	no intention	no rationale	no annotation	no tools/knowledge
3	55	理由：CTはボトルネックではないから	B6のバッファのサイズを変更する	B6のバッファサイズ:10	no intention	no rationale	no annotation	no tools/knowledge
3	56	B6のバッファサイズ:10	変更案を評価する	B6バッファサイズ変更による効果は小さい	no intention	no rationale	no annotation	no tools/knowledge
3	57	B6バッファサイズ変更による効果は小さい	"B1,B3,B4のバッファを変更する"	"B1バッファ：10,B3バッファ：10,B4バッファ：10"	バッファ変更による出来高への影響を調べたい	no rationale	no annotation	no tools/knowledge
3	58	"B1バッファ：10,B3バッファ：10,B4バッファ：10"	変更案を評価する	効果小さい	no intention	no rationale	no annotation	no tools/knowledge
3	59	効果小さい	搬送人数を変更する	"5:63,4：63.17,3：63.19,2：63.11"	最大の改善を試した上でコスト削減を検討していきたい	no rationale	no annotation	no tools/knowledge
3	60	"5:63,4：63.17,3：63.19,2：63.11"	搬送人数を決定する	搬送人数：2	no intention	コスト対パフォーマンスが最も良いから	no annotation	no tools/knowledge
3	61	搬送人数：2	各MCのCTを下限値に合わせる	"M2:45,M3:45,M4:45"	no intention	no rationale	no annotation	no tools/knowledge
3	62	"M2:45,M3:45,M4:45"	コストを調べる	コスト:75	no intention	no rationale	no annotation	no tools/knowledge
3	63	コスト:75	各MCのCTを変更する	"M2:50,M3:50,M4:50"	no intention	no rationale	no annotation	no tools/knowledge
3	64	"M2:50,M3:50,M4:50"	コストを調べる	コスト:69.17	no intention	no rationale	no annotation	no tools/knowledge
3	65	コスト:69.17	CTとコストの関係を調べる	no output	no intention	no rationale	no annotation	no tools/knowledge
3	66	no input	バッファのサイズを変更する	B1のバッファ:3	no intention	no rationale	no annotation	no tools/knowledge
3	67	B1のバッファ:3	変更可能なバッファを調べる	"B3,B6"	no intention	no rationale	no annotation	no tools/knowledge
3	68	"B3,B6"	変更可能なバッファのサイズを変更する	"B3:3,B6:3"	no intention	no rationale	no annotation	no tools/knowledge
3	69	"B3:3,B6:3"	残りのバッファの効果を調べる	"B4:効果小さい,B5:効果小さい"	no intention	no rationale	no annotation	no tools/knowledge
3	70	"B4:効果小さい,B5:効果小さい"	今までの改善方策を整理する	プロット図	no intention	no rationale	no annotation	no tools/knowledge
